fecha_entrada,precio_entrada,rsi_entrada,fecha_salida,precio_salida,motivo_salida,resultado_pct,resultado_usd
2025-03-20 07:00:00,85816.39,74.59,2025-03-27 07:00:00,87399.99,TIME STOP 7 DIAS,1.85,0.74
2025-04-12 12:00:00,83829.86,75.96,2025-04-19 12:00:00,85295.43,TIME STOP 7 DIAS,1.75,0.7
2025-04-19 13:00:00,85472.54,88.67,2025-04-22 13:00:00,90236.16,OBJETIVO +5%,5.57,2.23
2025-04-23 16:00:00,93641.74,89.75,2025-04-30 16:00:00,93939.98,TIME STOP 7 DIAS,0.32,0.13
2025-05-01 14:00:00,96827.99,68.25,2025-05-08 14:00:00,99371.95,TIME STOP 7 DIAS,2.63,1.05
2025-05-09 13:00:00,103633.5,60.86,2025-05-16 13:00:00,104007.98,TIME STOP 7 DIAS,0.36,0.14
2025-05-16 15:00:00,104183.33,72.05,2025-05-21 23:00:00,109643.99,OBJETIVO +5%,5.24,2.1
2025-05-22 09:00:00,110821.3,57.23,2025-05-29 09:00:00,108520.01,TIME STOP 7 DIAS,-2.08,-0.83
2025-06-10 10:00:00,109303.61,56.53,2025-06-13 00:00:00,103797.81,STOP LOSS -5%,-5.04,-2.01
2025-06-24 21:00:00,105989.05,84.93,2025-07-01 21:00:00,105784.13,TIME STOP 7 DIAS,-0.19,-0.08
2025-07-02 14:00:00,108139.99,88.37,2025-07-09 14:00:00,108900.29,TIME STOP 7 DIAS,0.7,0.28
2025-07-09 16:00:00,109408.71,64.18,2025-07-10 21:00:00,116490.52,OBJETIVO +5%,6.47,2.59
2025-07-12 02:00:00,117599.99,59.01,2025-07-19 02:00:00,118201.03,TIME STOP 7 DIAS,0.51,0.2
2025-07-22 16:00:00,118681.26,70.66,2025-07-29 16:00:00,117739.03,TIME STOP 7 DIAS,-0.79,-0.32
2025-07-31 06:00:00,118691.78,71.5,2025-08-02 17:00:00,112724.03,STOP LOSS -5%,-5.03,-2.01
2025-08-08 07:00:00,116817.19,56.64,2025-08-13 19:00:00,122744.21,OBJETIVO +5%,5.07,2.03
2025-09-03 19:00:00,112193.74,67.45,2025-09-10 19:00:00,113574.52,TIME STOP 7 DIAS,1.23,0.49
2025-09-11 03:00:00,114400.01,87.67,2025-09-18 03:00:00,117581.66,TIME STOP 7 DIAS,2.78,1.11
2025-09-18 13:00:00,117432.04,74.37,2025-09-25 06:00:00,111533.26,STOP LOSS -5%,-5.02,-2.01
2025-09-30 18:00:00,113714.56,76.73,2025-10-02 12:00:00,119402.42,OBJETIVO +5%,5.0,2.0
2025-10-02 15:00:00,119910.78,61.98,2025-10-06 18:00:00,126011.18,OBJETIVO +5%,5.09,2.03
2025-10-08 23:00:00,123306.0,87.3,2025-10-10 19:00:00,116661.5,STOP LOSS -5%,-5.39,-2.16
2025-10-25 03:00:00,111029.99,87.36,2025-11-01 03:00:00,110226.37,TIME STOP 7 DIAS,-0.72,-0.29
2025-11-28 09:00:00,91599.99,61.89,2025-12-01 00:00:00,87000.0,STOP LOSS -5%,-5.02,-2.01
2025-12-03 17:00:00,92956.22,84.77,2025-12-07 14:00:00,88220.53,STOP LOSS -5%,-5.09,-2.04
2025-12-10 03:00:00,92410.62,81.09,2025-12-15 15:00:00,87033.22,STOP LOSS -5%,-5.82,-2.33
2025-12-26 13:00:00,88992.88,68.13,2026-01-02 13:00:00,89348.68,TIME STOP 7 DIAS,0.4,0.16
2026-01-02 14:00:00,89580.0,59.99,2026-01-05 17:00:00,94317.84,OBJETIVO +5%,5.29,2.12
2026-01-15 05:00:00,96429.71,55.62,2026-01-20 06:00:00,90929.98,STOP LOSS -5%,-5.7,-2.28
