fecha_entrada,precio_entrada,rsi_entrada,fecha_salida,precio_salida,motivo_salida,resultado_pct,resultado_usd
2025-02-28 13:00:00,81512.42,32.11,2025-03-01 04:00:00,86190.01,OBJETIVO +5%,5.74,2.3
2025-03-06 20:00:00,89045.44,31.61,2025-03-09 13:00:00,83489.95,STOP LOSS -5%,-6.24,-2.5
2025-03-10 00:00:00,81292.0,26.31,2025-03-17 00:00:00,83054.91,TIME STOP 7 DIAS,2.17,0.87
2025-03-28 21:00:00,84052.29,28.82,2025-04-04 21:00:00,84185.8,TIME STOP 7 DIAS,0.16,0.06
2025-04-05 17:00:00,82869.53,34.59,2025-04-06 22:00:00,78063.66,STOP LOSS -5%,-5.8,-2.32
2025-04-07 08:00:00,76266.89,34.72,2025-04-08 01:00:00,80599.99,OBJETIVO +5%,5.68,2.27
2025-04-10 20:00:00,79931.55,33.7,2025-04-11 17:00:00,83930.0,OBJETIVO +5%,5.0,2.0
2025-04-15 21:00:00,84178.0,23.5,2025-04-22 01:00:00,88400.01,OBJETIVO +5%,5.02,2.01
2025-04-24 12:00:00,92777.27,32.78,2025-05-01 12:00:00,96373.2,TIME STOP 7 DIAS,3.88,1.55
2025-05-04 12:00:00,95462.24,31.94,2025-05-08 15:00:00,100758.08,OBJETIVO +5%,5.55,2.22
2025-06-06 00:00:00,101900.77,32.49,2025-06-09 10:00:00,107179.7,OBJETIVO +5%,5.18,2.07
2025-06-12 14:00:00,107612.69,32.0,2025-06-19 14:00:00,104148.6,TIME STOP 7 DIAS,-3.22,-1.29
2025-06-21 23:00:00,102120.01,29.65,2025-06-25 12:00:00,107240.0,OBJETIVO +5%,5.01,2.01
2025-07-01 16:00:00,106082.56,34.06,2025-07-08 16:00:00,108439.37,TIME STOP 7 DIAS,2.22,0.89
2025-07-15 10:00:00,117016.48,13.68,2025-07-22 10:00:00,118955.99,TIME STOP 7 DIAS,1.66,0.66
2025-07-28 19:00:00,118068.73,26.82,2025-08-04 19:00:00,114777.62,TIME STOP 7 DIAS,-2.79,-1.11
2025-08-14 18:00:00,118089.75,10.1,2025-08-21 18:00:00,112602.62,TIME STOP 7 DIAS,-4.65,-1.86
2025-08-23 16:00:00,115020.0,32.21,2025-08-26 00:00:00,109100.23,STOP LOSS -5%,-5.15,-2.06
2025-08-29 10:00:00,110008.01,29.19,2025-09-05 10:00:00,112256.36,TIME STOP 7 DIAS,2.04,0.82
2025-09-19 22:00:00,115613.21,28.45,2025-09-25 17:00:00,108833.63,STOP LOSS -5%,-5.86,-2.35
2025-10-07 09:00:00,124117.48,29.52,2025-10-10 17:00:00,117623.8,STOP LOSS -5%,-5.23,-2.09
2025-10-14 14:00:00,111435.21,22.15,2025-10-17 07:00:00,105633.75,STOP LOSS -5%,-5.21,-2.08
