close,ema_50,ema_200,rsi
8.94,9.27,9.2,46.27
8.89,9.27,9.2,46.27
8.75,9.27,9.2,46.27
8.8,9.27,9.2,46.27
8.75,9.27,9.2,46.27
8.73,9.27,9.2,46.27
8.66,9.27,9.2,46.27
8.61,9.27,9.2,46.27
8.6,9.27,9.2,46.27
8.81,9.27,9.2,46.27
8.92,9.27,9.2,46.27
8.99,9.27,9.2,46.27
8.94,9.27,9.2,46.27
8.8,9.27,9.2,46.27
8.81,9.27,9.2,46.27
8.97,9.27,9.2,46.27
8.92,9.27,9.2,46.27
8.77,9.27,9.2,46.27
8.74,9.27,9.2,46.27
8.91,9.27,9.2,46.27
8.91,9.27,9.2,46.27
8.96,9.27,9.2,46.27
9.34,9.27,9.2,46.27
9.21,9.27,9.2,46.27
9.22,9.27,9.2,46.27
9.16,9.27,9.2,46.27
9.13,9.27,9.2,46.27
8.78,9.27,9.2,46.27
8.75,9.27,9.2,46.27
8.69,9.27,9.2,46.27
8.73,9.27,9.2,46.27
8.71,9.27,9.2,46.27
8.75,9.27,9.2,46.27
8.81,9.27,9.2,46.27
8.9,9.27,9.2,46.27
8.96,9.27,9.2,46.27
9.01,9.27,9.2,46.27
8.96,9.27,9.2,46.27
8.91,9.27,9.2,46.27
8.9,9.27,9.2,46.27
8.87,9.27,9.2,46.27
8.89,9.27,9.2,46.27
8.95,9.27,9.2,46.27
9.02,9.27,9.2,46.27
8.99,9.27,9.2,46.27
8.95,9.27,9.2,46.27
8.8,9.27,9.2,46.27
8.82,9.27,9.2,46.27
8.87,9.27,9.2,46.27
8.85,9.27,9.2,46.27
9.06,9.27,9.2,46.27
9.45,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.44,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.32,9.27,9.2,46.27
8.91,9.27,9.2,46.27
8.69,9.27,9.2,46.27
8.65,9.27,9.2,46.27
8.62,9.27,9.2,46.27
8.59,9.27,9.2,46.27
8.79,9.27,9.2,46.27
9.43,9.27,9.2,46.27
9.44,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.3,9.27,9.2,46.27
9.22,9.27,9.2,46.27
9.19,9.27,9.2,46.27
9.05,9.27,9.2,46.27
9.03,9.27,9.2,46.27
9.08,9.27,9.2,46.27
9.08,9.27,9.2,46.27
9.34,9.27,9.2,46.27
9.31,9.27,9.2,46.27
9.37,9.27,9.2,46.27
9.31,9.27,9.2,46.27
9.28,9.27,9.2,46.27
9.3,9.27,9.2,46.27
9.42,9.27,9.2,46.27
9.53,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.33,9.27,9.2,46.27
9.28,9.27,9.2,46.27
9.28,9.27,9.2,46.27
9.34,9.27,9.2,46.27
9.58,9.27,9.2,46.27
9.38,9.27,9.2,46.27
9.09,9.27,9.2,46.27
9.02,9.27,9.2,46.27
9.03,9.27,9.2,46.27
8.96,9.27,9.2,46.27
9.08,9.27,9.2,46.27
9.03,9.27,9.2,46.27
9.07,9.27,9.2,46.27
9.06,9.27,9.2,46.27
9.07,9.27,9.2,46.27
9.21,9.27,9.2,46.27
9.4,9.27,9.2,46.27
9.66,9.27,9.2,46.27
9.46,9.27,9.2,46.27
9.42,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.42,9.27,9.2,46.27
9.35,9.27,9.2,46.27
9.31,9.27,9.2,46.27
9.35,9.27,9.2,46.27
9.27,9.27,9.2,46.27
9.43,9.27,9.2,46.27
9.37,9.27,9.2,46.27
9.53,9.27,9.2,46.27
9.43,9.27,9.2,46.27
9.49,9.27,9.2,46.27
9.51,9.27,9.2,46.27
9.46,9.27,9.2,46.27
9.58,9.27,9.2,46.27
9.86,9.27,9.2,46.27
9.73,9.27,9.2,46.27
9.55,9.27,9.2,46.27
9.62,9.27,9.2,46.27
9.65,9.27,9.2,46.27
9.82,9.27,9.2,46.27
9.79,9.27,9.2,46.27
9.72,9.27,9.2,46.27
9.64,9.27,9.2,46.27
9.7,9.27,9.2,46.27
9.4,9.27,9.2,46.27
9.4,9.27,9.2,46.27
9.38,9.27,9.2,46.27
9.33,9.27,9.2,46.27
9.3,9.27,9.2,46.27
9.22,9.27,9.2,46.27
9.25,9.27,9.2,46.27
9.28,9.27,9.2,46.27
9.2,9.27,9.2,46.27
9.0,9.27,9.2,46.27
9.15,9.27,9.2,46.27
9.22,9.27,9.2,46.27
9.22,9.27,9.2,46.27
9.23,9.27,9.2,46.27
9.31,9.27,9.2,46.27
9.27,9.27,9.2,46.27
9.29,9.27,9.2,46.27
9.34,9.27,9.2,46.27
9.44,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.2,9.27,9.2,46.27
9.39,9.27,9.2,46.27
9.56,9.27,9.2,46.27
9.57,9.27,9.2,46.27
9.58,9.27,9.2,46.27
9.54,9.27,9.2,46.27
9.48,9.27,9.2,46.27
9.33,9.27,9.2,46.27
9.27,9.27,9.2,46.27
9.28,9.27,9.2,46.27
9.27,9.27,9.2,46.27
9.4,9.27,9.2,46.27
9.28,9.27,9.2,46.27
9.38,9.27,9.2,46.27
9.33,9.27,9.2,46.27
9.37,9.27,9.2,46.27
9.44,9.27,9.2,46.27
9.46,9.27,9.2,46.27
9.44,9.27,9.2,46.27
9.4,9.27,9.2,46.27
9.44,9.27,9.2,46.27
9.45,9.27,9.2,46.27
9.4,9.27,9.2,46.27
9.34,9.27,9.2,46.27
9.3,9.27,9.2,46.27
9.36,9.27,9.2,46.27
9.34,9.27,9.2,46.27
9.43,9.27,9.2,46.27
9.48,9.27,9.2,46.27
9.49,9.27,9.2,46.27
9.48,9.27,9.2,46.27
9.45,9.27,9.2,46.27
9.51,9.27,9.2,46.27
9.23,9.27,9.2,46.27
9.27,9.27,9.2,46.27
9.13,9.27,9.2,46.27
9.18,9.27,9.2,46.27
9.27,9.27,9.2,46.27
9.22,9.27,9.2,46.27
9.18,9.27,9.2,46.27
9.15,9.27,9.2,46.27
9.17,9.27,9.2,46.27
9.18,9.27,9.2,46.27
9.17,9.27,9.2,46.27
9.26,9.27,9.2,46.27
9.3,9.27,9.2,46.27
9.35,9.27,9.2,46.27
9.12,9.27,9.2,46.27
9.06,9.27,9.2,46.27
9.12,9.27,9.2,46.27
9.16,9.27,9.2,46.27
9.15,9.27,9.2,46.27
9.14,9.27,9.2,46.27
9.13,9.27,9.2,46.27
9.1,9.27,9.2,46.27
