close,ema_50,ema_200,rsi
617.28,625.6,615.75,42.53
616.67,625.6,615.75,42.53
611.08,625.6,615.75,42.53
614.05,625.6,615.75,42.53
613.68,625.6,615.75,42.53
613.69,625.6,615.75,42.53
609.64,625.6,615.75,42.53
609.23,625.6,615.75,42.53
606.09,625.6,615.75,42.53
615.67,625.6,615.75,42.53
618.21,625.6,615.75,42.53
617.79,625.6,615.75,42.53
618.48,625.6,615.75,42.53
610.6,625.6,615.75,42.53
609.29,625.6,615.75,42.53
613.6,625.6,615.75,42.53
611.01,625.6,615.75,42.53
605.22,625.6,615.75,42.53
607.9,625.6,615.75,42.53
615.77,625.6,615.75,42.53
617.43,625.6,615.75,42.53
616.76,625.6,615.75,42.53
616.32,625.6,615.75,42.53
615.34,625.6,615.75,42.53
614.82,625.6,615.75,42.53
613.76,625.6,615.75,42.53
610.81,625.6,615.75,42.53
592.06,625.6,615.75,42.53
591.82,625.6,615.75,42.53
581.23,625.6,615.75,42.53
574.13,625.6,615.75,42.53
583.51,625.6,615.75,42.53
583.52,625.6,615.75,42.53
585.82,625.6,615.75,42.53
586.49,625.6,615.75,42.53
587.34,625.6,615.75,42.53
586.99,625.6,615.75,42.53
588.66,625.6,615.75,42.53
588.31,625.6,615.75,42.53
589.12,625.6,615.75,42.53
590.0,625.6,615.75,42.53
589.49,625.6,615.75,42.53
591.11,625.6,615.75,42.53
593.46,625.6,615.75,42.53
593.36,625.6,615.75,42.53
593.43,625.6,615.75,42.53
590.46,625.6,615.75,42.53
593.98,625.6,615.75,42.53
593.13,625.6,615.75,42.53
592.53,625.6,615.75,42.53
601.5,625.6,615.75,42.53
600.61,625.6,615.75,42.53
603.8,625.6,615.75,42.53
605.36,625.6,615.75,42.53
608.45,625.6,615.75,42.53
606.67,625.6,615.75,42.53
600.11,625.6,615.75,42.53
599.16,625.6,615.75,42.53
599.3,625.6,615.75,42.53
597.1,625.6,615.75,42.53
598.53,625.6,615.75,42.53
608.41,625.6,615.75,42.53
620.1,625.6,615.75,42.53
613.29,625.6,615.75,42.53
613.24,625.6,615.75,42.53
612.83,625.6,615.75,42.53
605.35,625.6,615.75,42.53
604.28,625.6,615.75,42.53
601.16,625.6,615.75,42.53
600.16,625.6,615.75,42.53
600.01,625.6,615.75,42.53
602.44,625.6,615.75,42.53
606.01,625.6,615.75,42.53
608.76,625.6,615.75,42.53
603.03,625.6,615.75,42.53
601.14,625.6,615.75,42.53
599.29,625.6,615.75,42.53
602.57,625.6,615.75,42.53
603.27,625.6,615.75,42.53
609.6,625.6,615.75,42.53
605.54,625.6,615.75,42.53
606.76,625.6,615.75,42.53
606.09,625.6,615.75,42.53
605.36,625.6,615.75,42.53
605.74,625.6,615.75,42.53
612.92,625.6,615.75,42.53
607.05,625.6,615.75,42.53
595.5,625.6,615.75,42.53
594.3,625.6,615.75,42.53
595.42,625.6,615.75,42.53
591.65,625.6,615.75,42.53
592.36,625.6,615.75,42.53
592.19,625.6,615.75,42.53
594.68,625.6,615.75,42.53
597.26,625.6,615.75,42.53
597.2,625.6,615.75,42.53
603.4,625.6,615.75,42.53
608.59,625.6,615.75,42.53
614.71,625.6,615.75,42.53
616.13,625.6,615.75,42.53
613.55,625.6,615.75,42.53
616.41,625.6,615.75,42.53
623.45,625.6,615.75,42.53
613.95,625.6,615.75,42.53
613.75,625.6,615.75,42.53
616.14,625.6,615.75,42.53
611.54,625.6,615.75,42.53
619.7,625.6,615.75,42.53
619.04,625.6,615.75,42.53
625.38,625.6,615.75,42.53
622.59,625.6,615.75,42.53
624.25,625.6,615.75,42.53
622.69,625.6,615.75,42.53
620.95,625.6,615.75,42.53
624.89,625.6,615.75,42.53
636.55,625.6,615.75,42.53
635.77,625.6,615.75,42.53
629.26,625.6,615.75,42.53
627.21,625.6,615.75,42.53
632.5,625.6,615.75,42.53
643.34,625.6,615.75,42.53
641.36,625.6,615.75,42.53
643.12,625.6,615.75,42.53
640.2,625.6,615.75,42.53
643.35,625.6,615.75,42.53
633.37,625.6,615.75,42.53
633.37,625.6,615.75,42.53
630.39,625.6,615.75,42.53
629.9,625.6,615.75,42.53
623.26,625.6,615.75,42.53
620.32,625.6,615.75,42.53
622.4,625.6,615.75,42.53
626.07,625.6,615.75,42.53
622.93,625.6,615.75,42.53
616.06,625.6,615.75,42.53
621.69,625.6,615.75,42.53
624.69,625.6,615.75,42.53
625.5,625.6,615.75,42.53
628.31,625.6,615.75,42.53
630.56,625.6,615.75,42.53
629.26,625.6,615.75,42.53
629.87,625.6,615.75,42.53
632.88,625.6,615.75,42.53
634.14,625.6,615.75,42.53
631.81,625.6,615.75,42.53
626.6,625.6,615.75,42.53
631.72,625.6,615.75,42.53
639.57,625.6,615.75,42.53
641.99,625.6,615.75,42.53
642.77,625.6,615.75,42.53
649.1,625.6,615.75,42.53
644.1,625.6,615.75,42.53
637.47,625.6,615.75,42.53
635.6,625.6,615.75,42.53
635.7,625.6,615.75,42.53
633.56,625.6,615.75,42.53
639.74,625.6,615.75,42.53
635.91,625.6,615.75,42.53
638.54,625.6,615.75,42.53
634.61,625.6,615.75,42.53
635.0,625.6,615.75,42.53
638.1,625.6,615.75,42.53
639.6,625.6,615.75,42.53
638.24,625.6,615.75,42.53
636.21,625.6,615.75,42.53
637.45,625.6,615.75,42.53
636.7,625.6,615.75,42.53
634.66,625.6,615.75,42.53
629.91,625.6,615.75,42.53
