close,ema_50,ema_200,rsi
2026.84,2301.33,2228.53,46.05
2020.56,2301.33,2228.53,46.05
1994.74,2301.33,2228.53,46.05
2011.1,2301.33,2228.53,46.05
2006.14,2301.33,2228.53,46.05
2003.78,2301.33,2228.53,46.05
1992.97,2301.33,2228.53,46.05
1995.89,2301.33,2228.53,46.05
1984.64,2301.33,2228.53,46.05
2035.88,2301.33,2228.53,46.05
2059.58,2301.33,2228.53,46.05
2071.28,2301.33,2228.53,46.05
2074.53,2301.33,2228.53,46.05
2023.7,2301.33,2228.53,46.05
2026.48,2301.33,2228.53,46.05
2066.71,2301.33,2228.53,46.05
2055.97,2301.33,2228.53,46.05
2041.2,2301.33,2228.53,46.05
2054.85,2301.33,2228.53,46.05
2096.54,2301.33,2228.53,46.05
2105.43,2301.33,2228.53,46.05
2102.91,2301.33,2228.53,46.05
2131.0,2301.33,2228.53,46.05
2135.32,2301.33,2228.53,46.05
2135.04,2301.33,2228.53,46.05
2141.43,2301.33,2228.53,46.05
2140.35,2301.33,2228.53,46.05
2056.33,2301.33,2228.53,46.05
2056.09,2301.33,2228.53,46.05
2033.01,2301.33,2228.53,46.05
2059.6,2301.33,2228.53,46.05
2065.34,2301.33,2228.53,46.05
2057.17,2301.33,2228.53,46.05
2054.23,2301.33,2228.53,46.05
2065.85,2301.33,2228.53,46.05
2062.64,2301.33,2228.53,46.05
2051.26,2301.33,2228.53,46.05
2052.68,2301.33,2228.53,46.05
2053.83,2301.33,2228.53,46.05
2050.05,2301.33,2228.53,46.05
2053.82,2301.33,2228.53,46.05
2051.84,2301.33,2228.53,46.05
2056.29,2301.33,2228.53,46.05
2064.71,2301.33,2228.53,46.05
2065.52,2301.33,2228.53,46.05
2056.64,2301.33,2228.53,46.05
2037.29,2301.33,2228.53,46.05
2042.32,2301.33,2228.53,46.05
2053.85,2301.33,2228.53,46.05
2062.37,2301.33,2228.53,46.05
2110.17,2301.33,2228.53,46.05
2129.35,2301.33,2228.53,46.05
2134.9,2301.33,2228.53,46.05
2151.53,2301.33,2228.53,46.05
2164.65,2301.33,2228.53,46.05
2144.25,2301.33,2228.53,46.05
2107.16,2301.33,2228.53,46.05
2108.37,2301.33,2228.53,46.05
2104.04,2301.33,2228.53,46.05
2089.58,2301.33,2228.53,46.05
2080.06,2301.33,2228.53,46.05
2113.39,2301.33,2228.53,46.05
2240.01,2301.33,2228.53,46.05
2234.68,2301.33,2228.53,46.05
2253.76,2301.33,2228.53,46.05
2247.23,2301.33,2228.53,46.05
2215.45,2301.33,2228.53,46.05
2211.04,2301.33,2228.53,46.05
2190.0,2301.33,2228.53,46.05
2182.49,2301.33,2228.53,46.05
2181.14,2301.33,2228.53,46.05
2180.26,2301.33,2228.53,46.05
2217.99,2301.33,2228.53,46.05
2216.42,2301.33,2228.53,46.05
2190.2,2301.33,2228.53,46.05
2186.06,2301.33,2228.53,46.05
2179.28,2301.33,2228.53,46.05
2215.65,2301.33,2228.53,46.05
2224.27,2301.33,2228.53,46.05
2253.17,2301.33,2228.53,46.05
2245.05,2301.33,2228.53,46.05
2237.17,2301.33,2228.53,46.05
2232.6,2301.33,2228.53,46.05
2246.11,2301.33,2228.53,46.05
2249.54,2301.33,2228.53,46.05
2315.96,2301.33,2228.53,46.05
2284.99,2301.33,2228.53,46.05
2213.71,2301.33,2228.53,46.05
2218.02,2301.33,2228.53,46.05
2204.62,2301.33,2228.53,46.05
2186.47,2301.33,2228.53,46.05
2198.27,2301.33,2228.53,46.05
2191.65,2301.33,2228.53,46.05
2194.36,2301.33,2228.53,46.05
2186.56,2301.33,2228.53,46.05
2187.33,2301.33,2228.53,46.05
2209.28,2301.33,2228.53,46.05
2262.33,2301.33,2228.53,46.05
2369.46,2301.33,2228.53,46.05
2365.5,2301.33,2228.53,46.05
2377.91,2301.33,2228.53,46.05
2374.53,2301.33,2228.53,46.05
2364.63,2301.33,2228.53,46.05
2313.32,2301.33,2228.53,46.05
2322.44,2301.33,2228.53,46.05
2328.81,2301.33,2228.53,46.05
2316.62,2301.33,2228.53,46.05
2337.43,2301.33,2228.53,46.05
2332.04,2301.33,2228.53,46.05
2375.05,2301.33,2228.53,46.05
2359.95,2301.33,2228.53,46.05
2357.86,2301.33,2228.53,46.05
2341.52,2301.33,2228.53,46.05
2335.67,2301.33,2228.53,46.05
2339.01,2301.33,2228.53,46.05
2359.7,2301.33,2228.53,46.05
2348.17,2301.33,2228.53,46.05
2325.52,2301.33,2228.53,46.05
2334.16,2301.33,2228.53,46.05
2354.99,2301.33,2228.53,46.05
2441.96,2301.33,2228.53,46.05
2427.92,2301.33,2228.53,46.05
2419.0,2301.33,2228.53,46.05
2405.04,2301.33,2228.53,46.05
2403.71,2301.33,2228.53,46.05
2352.96,2301.33,2228.53,46.05
2363.64,2301.33,2228.53,46.05
2348.59,2301.33,2228.53,46.05
2350.32,2301.33,2228.53,46.05
2339.77,2301.33,2228.53,46.05
2316.03,2301.33,2228.53,46.05
2329.38,2301.33,2228.53,46.05
2330.8,2301.33,2228.53,46.05
2299.65,2301.33,2228.53,46.05
2263.27,2301.33,2228.53,46.05
2286.56,2301.33,2228.53,46.05
2298.8,2301.33,2228.53,46.05
2308.42,2301.33,2228.53,46.05
2313.91,2301.33,2228.53,46.05
2331.78,2301.33,2228.53,46.05
2313.85,2301.33,2228.53,46.05
2311.62,2301.33,2228.53,46.05
2318.48,2301.33,2228.53,46.05
2320.45,2301.33,2228.53,46.05
2310.24,2301.33,2228.53,46.05
2298.41,2301.33,2228.53,46.05
2327.14,2301.33,2228.53,46.05
2363.62,2301.33,2228.53,46.05
2389.97,2301.33,2228.53,46.05
2398.44,2301.33,2228.53,46.05
2403.83,2301.33,2228.53,46.05
2397.79,2301.33,2228.53,46.05
2374.07,2301.33,2228.53,46.05
2340.81,2301.33,2228.53,46.05
2344.43,2301.33,2228.53,46.05
2328.97,2301.33,2228.53,46.05
2333.26,2301.33,2228.53,46.05
2312.88,2301.33,2228.53,46.05
2330.26,2301.33,2228.53,46.05
2308.64,2301.33,2228.53,46.05
2311.63,2301.33,2228.53,46.05
2328.1,2301.33,2228.53,46.05
2323.81,2301.33,2228.53,46.05
2321.6,2301.33,2228.53,46.05
2314.99,2301.33,2228.53,46.05
2318.43,2301.33,2228.53,46.05
2316.48,2301.33,2228.53,46.05
2313.64,2301.33,2228.53,46.05
2308.09,2301.33,2228.53,46.05
2310.06,2301.33,2228.53,46.05
2319.5,2301.33,2228.53,46.05
2310.0,2301.33,2228.53,46.05
2331.24,2301.33,2228.53,46.05
2335.95,2301.33,2228.53,46.05
2348.05,2301.33,2228.53,46.05
