close,ema_50,ema_200,rsi
83.83,84.76,83.95,47.24
83.28,84.76,83.95,47.24
82.09,84.76,83.95,47.24
83.0,84.76,83.95,47.24
82.45,84.76,83.95,47.24
82.58,84.76,83.95,47.24
81.81,84.76,83.95,47.24
81.62,84.76,83.95,47.24
81.44,84.76,83.95,47.24
83.27,84.76,83.95,47.24
84.02,84.76,83.95,47.24
84.24,84.76,83.95,47.24
84.51,84.76,83.95,47.24
82.39,84.76,83.95,47.24
82.54,84.76,83.95,47.24
83.6,84.76,83.95,47.24
83.1,84.76,83.95,47.24
80.85,84.76,83.95,47.24
80.86,84.76,83.95,47.24
82.7,84.76,83.95,47.24
83.2,84.76,83.95,47.24
83.43,84.76,83.95,47.24
83.84,84.76,83.95,47.24
83.37,84.76,83.95,47.24
83.63,84.76,83.95,47.24
83.82,84.76,83.95,47.24
81.18,84.76,83.95,47.24
79.01,84.76,83.95,47.24
79.65,84.76,83.95,47.24
78.31,84.76,83.95,47.24
79.03,84.76,83.95,47.24
78.98,84.76,83.95,47.24
78.94,84.76,83.95,47.24
79.0,84.76,83.95,47.24
79.96,84.76,83.95,47.24
80.18,84.76,83.95,47.24
80.33,84.76,83.95,47.24
80.21,84.76,83.95,47.24
80.4,84.76,83.95,47.24
80.18,84.76,83.95,47.24
80.32,84.76,83.95,47.24
80.21,84.76,83.95,47.24
81.1,84.76,83.95,47.24
80.85,84.76,83.95,47.24
80.83,84.76,83.95,47.24
80.55,84.76,83.95,47.24
79.6,84.76,83.95,47.24
79.9,84.76,83.95,47.24
79.6,84.76,83.95,47.24
79.83,84.76,83.95,47.24
81.89,84.76,83.95,47.24
82.11,84.76,83.95,47.24
81.82,84.76,83.95,47.24
82.45,84.76,83.95,47.24
82.27,84.76,83.95,47.24
81.9,84.76,83.95,47.24
80.03,84.76,83.95,47.24
79.8,84.76,83.95,47.24
79.87,84.76,83.95,47.24
79.21,84.76,83.95,47.24
78.86,84.76,83.95,47.24
81.63,84.76,83.95,47.24
85.56,84.76,83.95,47.24
84.56,84.76,83.95,47.24
84.5,84.76,83.95,47.24
84.45,84.76,83.95,47.24
83.34,84.76,83.95,47.24
83.19,84.76,83.95,47.24
82.57,84.76,83.95,47.24
82.03,84.76,83.95,47.24
82.29,84.76,83.95,47.24
82.18,84.76,83.95,47.24
83.75,84.76,83.95,47.24
84.17,84.76,83.95,47.24
83.33,84.76,83.95,47.24
82.9,84.76,83.95,47.24
82.95,84.76,83.95,47.24
83.52,84.76,83.95,47.24
84.24,84.76,83.95,47.24
85.44,84.76,83.95,47.24
84.83,84.76,83.95,47.24
84.4,84.76,83.95,47.24
84.28,84.76,83.95,47.24
84.24,84.76,83.95,47.24
84.66,84.76,83.95,47.24
86.01,84.76,83.95,47.24
84.93,84.76,83.95,47.24
82.33,84.76,83.95,47.24
82.27,84.76,83.95,47.24
82.22,84.76,83.95,47.24
81.59,84.76,83.95,47.24
81.99,84.76,83.95,47.24
81.53,84.76,83.95,47.24
81.91,84.76,83.95,47.24
82.17,84.76,83.95,47.24
81.86,84.76,83.95,47.24
82.65,84.76,83.95,47.24
84.09,84.76,83.95,47.24
86.51,84.76,83.95,47.24
86.05,84.76,83.95,47.24
85.88,84.76,83.95,47.24
85.78,84.76,83.95,47.24
85.95,84.76,83.95,47.24
83.95,84.76,83.95,47.24
83.72,84.76,83.95,47.24
83.45,84.76,83.95,47.24
82.92,84.76,83.95,47.24
83.61,84.76,83.95,47.24
84.0,84.76,83.95,47.24
85.51,84.76,83.95,47.24
84.9,84.76,83.95,47.24
85.28,84.76,83.95,47.24
85.21,84.76,83.95,47.24
85.07,84.76,83.95,47.24
86.62,84.76,83.95,47.24
90.1,84.76,83.95,47.24
89.05,84.76,83.95,47.24
87.72,84.76,83.95,47.24
88.12,84.76,83.95,47.24
